,Best_YTD_Streak_wo_a_3-Putt_RANK THIS WEEK,Best_YTD_Streak_wo_a_3-Putt_RANK LAST WEEK,Best_YTD_Streak_wo_a_3-Putt_PLAYER NAME,Best_YTD_Streak_wo_a_3-Putt_EVENTS,Best_YTD_Streak_wo_a_3-Putt_BEST STREAK,Best_YTD_Streak_wo_a_3-Putt_CURRENT STREAK
327,T325,,Jake Knapp,1,47,5.0
328,T325,T321,Chad Ramey,1,47,47.0
329,T330,T324,Ashun Wu,1,46,6.0
330,T330,T324,Ben Griffin,2,46,19.0
331,T330,,Richard Jung,1,46,10.0
332,T333,T326,Oliver Bekker,1,45,
333,T333,T326,George Cunningham,2,45,15.0
334,T333,T326,Sam Horsfield,3,45,20.0
335,T333,T326,Dong Seop Maeng,1,45,26.0
336,T333,T326,Boo Weekley,5,45,26.0
337,T333,T326,Xinjun Zhang,1,45,21.0
338,339,332,Bernhard Langer,1,44,44.0
339,T340,T333,Rafael Campos,2,43,10.0
340,T340,T333,Jonathan Randolph,1,43,43.0
341,T340,T333,Richard Sterne,2,43,
342,343,337,Trevor Immelman,4,42,31.0
343,T344,T338,Dawson Armstrong,1,41,41.0
344,T344,T338,David Pastore,2,41,41.0
345,T344,T338,Y.E. Yang,2,41,19.0
346,T347,T341,Tae Hee Lee,2,40,31.0
347,T347,T341,John Merrick,3,40,7.0
348,T349,T343,Zac Blair,1,39,1.0
349,T349,T343,Hyungjoon Lee,1,39,2.0
350,T349,T343,Maverick McNealy,2,39,39.0
351,T349,T343,Tony Romo,2,39,39.0
352,T349,T343,Heath Slocum,2,39,39.0
353,T349,T343,Kevin Stadler,3,39,39.0
354,T355,T349,David Duval,4,38,12.0
355,T355,T349,Andrew Filbert,2,38,15.0
356,T355,T349,Rob Labritz,1,38,
357,T355,T349,Braden Thornberry,2,38,34.0
358,T359,T453,Austin Connelly,2,37,37.0
359,T359,353,Tom Lewis,3,37,9.0
360,T361,,James Allenby,1,36,36.0
361,T361,T354,Mark Anguiano,1,36,36.0
362,T361,T354,Adri Arnaus,1,36,36.0
363,T361,T354,Akshay Bhatia,1,36,36.0
364,T361,T354,Kris Blanks,1,36,36.0
365,T361,T354,John Daly,1,36,36.0
366,T361,T354,Robert Gamez,2,36,1.0
367,T361,T354,Brent Grant,1,36,36.0
368,T361,T354,Hunter Hamrick,1,36,36.0
369,T361,T354,Derek Lamely,1,36,36.0
370,T361,T354,Cole Nygren,1,36,36.0
371,T361,T354,Carl Pettersson,1,36,36.0
372,T361,T354,Kyle Ramey,1,36,36.0
373,T361,T354,Jared Sawada,1,36,36.0
374,T361,T354,Nathan Stamey,1,36,36.0
375,T361,T354,Zach Zaback,1,36,36.0
376,T377,T372,Broc Everett,2,35,6.0
377,T377,T372,"Ray Franz, Jr.",1,35,35.0
378,T377,T372,Berry Henson,1,35,34.0
379,T377,T372,Smylie Kaufman,2,35,7.0
380,T377,T372,Jay McLuen,1,35,35.0
381,T377,T372,Jason Norris,1,35,8.0
382,T377,T372,Rod Perry,3,35,10.0
383,T377,T372,Hyun-woo Ryu,1,35,35.0
384,T377,T372,Kyle Sanders,1,35,
385,T377,T372,Jason Schmuhl,1,35,8.0
386,T377,T372,Mark Wilson,1,35,35.0
387,T388,T383,Eric Axley,4,34,1.0
388,T388,T383,Ben Cook,1,34,34.0
389,T388,T383,Shugo Imahira,4,34,4.0
390,T388,T383,Richard Lee,1,34,34.0
391,T388,T383,Tyler McCumber,1,34,12.0
392,T388,T383,Davis Riley,1,34,17.0
393,T394,T389,Andres Gonzales,1,33,33.0
394,T394,T389,Alex Kang,2,33,10.0
395,T394,T389,Frank Lickliter II,1,33,33.0
396,T397,T392,Robert Allenby,2,32,32.0
397,T397,T392,Kim Leun-Kwang,1,32,21.0
398,T397,T392,Cory Schneider,1,32,1.0
399,T400,T395,Bryson Nimmer,1,31,15.0
400,T400,T395,Kenny Pigman,1,31,1.0
401,T400,T395,Jeff Schmid,1,31,4.0
402,T400,T395,Sebastián Vázquez,1,31,31.0
403,T404,,Chris Crisologo,1,30,5.0
404,T404,T399,Ben Leong,1,30,25.0
405,T404,T399,Larry Mize,1,30,30.0
406,T404,T399,Jovan Rebula,2,30,10.0
407,T404,T399,Hiram Silfa,2,30,9.0
408,T404,T399,Tucker Wadkins,1,30,30.0
409,T410,T404,Blayne Barber,2,29,29.0
410,T410,T404,Rich Beem,1,29,15.0
411,T410,T404,"Rich Berberian, Jr.",1,29,4.0
412,T410,T404,Timothy O'Neal,1,29,29.0
413,T410,T404,Rhadames Pena,1,29,29.0
